bgg_id,name,year,min_players,max_players,min_age,min_time,max_time,avg_rating,complexity,category_ids,mechanic_ids,family_ids,designer_ids,artist_ids,publisher_ids,game_type_ids
1,Die Macher,1986.0,3.0,5.0,14.0,240.0,240.0,7.60139,4.3144,"1021,1026,1001","2916,2080,2012,2072,2040,2020","10643,34116,91",1,"12517,4959","133,2,24883,2726,15108,39249,11652,5382,8147",5497
2,Dragonmaster,1981.0,3.0,4.0,12.0,30.0,30.0,6.65823,1.9636,"1002,1010",2009,"73592,7005,75454",8384,12424,"64,20",5497
3,Samurai,1998.0,2.0,4.0,10.0,30.0,60.0,7.45913,2.4784,"1009,1035","2080,2040,2026,2846,2004,2002","64960,10634,70711,60111,42,28732",2,11883,"17,133,267,29,7340,7335,41,2973,4617,1391,8291,5812,3218,3,3954,8313,8759",5497
4,Tal der Könige,1992.0,2.0,4.0,12.0,60.0,60.0,6.62296,2.6667,1050,"2001,2080,2012,2004","64229,6471,11505",8008,2277,37,5497
5,Acquire,1964.0,2.0,6.0,12.0,90.0,90.0,7.33439,2.4985,"1021,1086","2040,2910,2900,2940,2005,2002,2874","78494,4891",4,"12658,18317","92,5,4871,3082,858,2962,28072,5392,4668,38,4622,7107",5497
6,Mare Mediterraneum,1989.0,2.0,6.0,12.0,240.0,240.0,6.54583,3.0,"1015,1008",2072,"6363,58955",5,5,6,
7,Cathedral,1978.0,2.0,2.0,8.0,20.0,20.0,6.53356,1.7872,"1009,1041,1029,1086","2043,2048,2060,2940,2002","26432,78567,24571,68769,61979",1335,36624,"6421,4089,672,786,155,148,327,93,17832,35425",4666
8,Lords of Creation,1993.0,2.0,5.0,12.0,120.0,120.0,6.05493,2.4,"1015,1010",2011,,6,36807,"4675,7",
9,El Caballero,1998.0,2.0,4.0,13.0,90.0,90.0,6.44667,3.1867,1020,"2080,2002",9959,"7,8",74,"267,133,3",5497
10,Elfenland,1998.0,2.0,6.0,10.0,60.0,60.0,6.68721,2.157,"1010,1097","2040,2081,2041,2078","7005,19299,68281,42078,70360,34380",9,"74,9","8,267,4304,6818,18852,3395,3",5499
11,Bohnanza,1997.0,2.0,7.0,12.0,45.0,45.0,7.04409,1.6714,"1002,1013,1026","2040,2981,2915,2004,2008","65191,5,18",10,"28004,44242,12035,11507,11901,65041,308,12123,4959,24642,74,12024,10,233,12102,11883,12038","8,267,46980,7162,9068,2378,6818,33618,8845,155,5530,6214,5640,8291,3218,9325,234,7772,3395,3504,2528,32581,22,3,44204,3888,9234,27545",5499
12,Ra,1999.0,2.0,5.0,12.0,45.0,60.0,7.53327,2.3419,"1050,1082","2012,2923,2928,2922,2661,2004","6471,66292,70711,3867,59705,62771,58,71084,60111",2,"20789,139382,64844,106255,11883","9,34,28620,267,29,23205,2973,8291,9881,42294,3,9234,1901,31987",5497
13,CATAN,1995.0,3.0,4.0,10.0,60.0,120.0,7.10855,2.301,"1021,1026","2072,2026,2902,2011,2915,2081,2876,2909,2008,2897","7481,67874,68769,70360,77349,3,78198,11505",11,"12036,12382,13034,5442,26874,4959,11825,24191,25612,11883,12063","37,267,4304,157,52686,7340,6784,46980,7162,9068,4358,31418,4335,496,41,2366,26990,116,5657,4617,5530,21640,858,23382,4417,18852,8822,31372,29036,5020,6214,8291,2654,5597,3218,3533,10,51614,24886,2528,22,8313,44204,9235,48279,9234,42,18477,13481,14078","5497,5499"
14,Basari,1998.0,3.0,4.0,10.0,25.0,25.0,6.75001,1.8571,1026,"2035,2004,2020","73592,6485,67862",12,"6815,37332,17547","11,9881,48","5497,5499"
15,Cosmic Encounter,1977.0,2.0,6.0,12.0,90.0,90.0,6.91767,2.3706,"1023,1026,1016","2916,2040,2915,2015","22783,5679,133","34,35,10774,36","12369,27686,779,13327,35334,15161","27,404,74,41,26,858,1034,40","5496,5497"
16,MarraCash,1996.0,3.0,4.0,12.0,60.0,60.0,6.87938,2.1489,1021,2012,"22783,19451,19450",13,"24191,27879",37,5497
17,Button Men,1999.0,2.0,2.0,10.0,5.0,5.0,6.36401,1.52,"1044,1017,1046,1120","2072,2661","22783,66140,6428,61979",61,"27379,15492,1038,616,13444,18283,6815,127,12009,280,13285,28039","12,78,465,973,76,365,322,89",4667
