peakid,pkname,heightm,success_exp,failed_exp,expid,year,season,membid,sex,yob,citizen,msuccess,age,peak_success_p
AMAD,Ama Dablam,6814,1123,453,AMAD01101,2001,Spring,2,M,1972,Australia,False,29,71.3
AMAD,Ama Dablam,6814,1123,453,AMAD01101,2001,Spring,1,M,1968,Australia,False,33,71.3
AMAD,Ama Dablam,6814,1123,453,AMAD01101,2001,Spring,3,M,1960,Australia,False,41,71.3
AMAD,Ama Dablam,6814,1123,453,AMAD01101,2001,Spring,4,M,1966,Australia,False,35,71.3
AMAD,Ama Dablam,6814,1123,453,AMAD01101,2001,Spring,5,F,1970,Australia,False,31,71.3
AMAD,Ama Dablam,6814,1123,453,AMAD01102,2001,Spring,1,M,1958,USA,False,43,71.3
AMAD,Ama Dablam,6814,1123,453,AMAD01102,2001,Spring,2,F,1956,Russia,False,45,71.3
AMAD,Ama Dablam,6814,1123,453,AMAD01102,2001,Spring,3,M,1968,USA,False,33,71.3
AMAD,Ama Dablam,6814,1123,453,AMAD01103,2001,Spring,2,M,1970,Spain,False,31,71.3
AMAD,Ama Dablam,6814,1123,453,AMAD01103,2001,Spring,3,M,1970,Spain,False,31,71.3
AMAD,Ama Dablam,6814,1123,453,AMAD01103,2001,Spring,4,M,1969,Spain,False,32,71.3
AMAD,Ama Dablam,6814,1123,453,AMAD01103,2001,Spring,1,M,1957,Spain,False,44,71.3
AMAD,Ama Dablam,6814,1123,453,AMAD01103,2001,Spring,5,M,1972,Spain,False,29,71.3
AMAD,Ama Dablam,6814,1123,453,AMAD01103,2001,Spring,6,M,1973,Spain,False,28,71.3
AMAD,Ama Dablam,6814,1123,453,AMAD01103,2001,Spring,7,M,1971,Spain,False,30,71.3
AMAD,Ama Dablam,6814,1123,453,AMAD01104,2001,Spring,2,M,1956,USA,False,45,71.3
AMAD,Ama Dablam,6814,1123,453,AMAD01104,2001,Spring,3,M,1969,USA,False,32,71.3
AMAD,Ama Dablam,6814,1123,453,AMAD01104,2001,Spring,1,M,1966,USA,False,35,71.3
AMAD,Ama Dablam,6814,1123,453,AMAD01104,2001,Spring,4,M,1947,USA,True,54,71.3
AMAD,Ama Dablam,6814,1123,453,AMAD01104,2001,Spring,5,M,1980,USA,False,21,71.3
AMAD,Ama Dablam,6814,1123,453,AMAD01104,2001,Spring,6,M,1976,USA,False,25,71.3
